"Story","Title","Result","Date","Stability","Duration (s)"
"Envio recepcion correo","Loguin al servidor de correo gmail para (envío y recepción) de información","SUCCESS","2017-11-12T00:55:31.130-05:00","0.0","35.82"
"Envio recepcion correo","Recepción de correo electronico en la bandeja de entrada gmail","SUCCESS","2017-11-12T00:56:07.000-05:00","0.0","10.04"
